year,trip_id,boat_type,engine_hp,trip_days,month,port_name,departure_lat,departure_lon,fishing_lat,fishing_lon,distance_km,wind_kph,wave_m,safety,diesel_liters,petrol_liters,kerosene_liters,fuel_cost_LKR,crew_cost_LKR,ice_cost_LKR,gear_loss_cost_LKR,total_cost_LKR,gross_revenue_LKR,tax_amount_LKR,net_revenue_LKR,gross_profit_LKR,net_profit_margin,trip_date,fuel_date_used,diesel_price_LKR,petrol_price_LKR,kerosene_price_LKR,catch_Yellowfin_Tuna_kg,revenue_Yellowfin_Tuna_LKR,catch_Skipjack_kg,revenue_Skipjack_LKR,catch_Marlin_kg,revenue_Marlin_LKR,catch_Seer_kg,revenue_Seer_LKR,catch_Other_kg,revenue_Other_LKR,fuel_cost_share,crew_cost_share,profitability
2022,1691,NTRB,0,1,11,Beruwala,6.0535,80.2209,6.0625,80.245,7.4,9.3,1.34,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,18720.0,1872.0,16848.0,11788.0,0.7,2022-11-13,2022-11,430.0,370.0,365.0,1.98,3366.0,3.31,3972.0,0.66,924.0,3.31,7282.0,3.97,3176.0,0.0,0.7905138339920948,high_profit
2022,769,NBSB,0,1,5,Kalpitiya,8.556,79.8,8.5355,79.8132,6.4,18.3,1.52,safe,0.0,0.0,0.0,0.0,64000,2250.0,0.0,67209.0,79422.0,7942.0,71480.0,4271.0,0.06,2022-05-01,2022-05,289.0,338.0,87.0,8.42,14314.0,14.03,16836.0,2.81,3934.0,14.03,30866.0,16.84,13472.0,0.0,0.9522534184409827,low_profit
2022,1821,OFRP,20,2,4,Beruwala,6.0535,80.2209,6.158,80.0396,37.1,27.1,2.05,safe,0.0,0.0,43.1,3748.0,16000,3000.0,0.0,27953.0,297209.0,29721.0,267488.0,239535.0,0.895,2022-04-08,2022-04,176.0,254.0,87.0,31.51,53567.0,52.51,63012.0,10.5,14700.0,52.51,115522.0,63.01,50408.0,0.13408220942295998,0.5723893678674918,high_profit
2022,910,OFRP,16,2,1,Kankesanthurai,9.6615,80.0104,9.4716,80.1471,28.9,14.7,0.6,safe,0.0,0.0,37.3,3241.0,16000,3000.0,14499.0,41946.0,282543.0,28254.0,254289.0,212343.0,0.835,2022-01-04,2022-01,121.0,177.0,87.0,29.95,50915.0,49.92,59904.0,9.98,13972.0,49.92,109824.0,59.91,47928.0,0.07726600867782386,0.3814428074190626,high_profit
2022,1568,OFRP,24,2,4,Hambantota,5.9549,80.5549,6.0639,80.4515,49.5,19.5,0.59,safe,0.0,0.0,52.6,4572.0,16000,3000.0,0.0,28778.0,248300.0,24830.0,223470.0,194692.0,0.871,2022-04-19,2022-04,289.0,338.0,87.0,26.32,44744.0,43.87,52644.0,8.77,12278.0,43.87,96514.0,52.65,42120.0,0.15887136006671762,0.5559802627006741,high_profit
2022,2047,NTRB,0,1,9,Hambantota,5.9549,80.5549,5.9619,80.5551,2.1,24.3,1.74,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,23307.0,2331.0,20976.0,15916.0,0.759,2022-09-10,2022-09,430.0,450.0,340.0,2.47,4199.0,4.12,4944.0,0.82,1148.0,4.12,9064.0,4.94,3952.0,0.0,0.7905138339920948,high_profit
2022,1087,NTRB,0,1,2,Negombo,7.209,79.835,7.2228,79.8336,1.6,13.9,0.92,safe,0.0,0.0,0.0,0.0,4000,375.0,0.0,5060.0,15890.0,1589.0,14301.0,9241.0,0.646,2022-02-13,2022-02,121.0,177.0,87.0,1.68,2856.0,2.81,3372.0,0.56,784.0,2.81,6182.0,3.37,2696.0,0.0,0.7905138339920948,high_profit
2022,1146,OFRP,38,2,5,Kankesanthurai,9.6615,80.0104,9.7153,79.7557,38.6,16.0,0.67,safe,0.0,0.0,35.6,3093.0,16000,3000.0,0.0,27299.0,207663.0,20766.0,186897.0,159598.0,0.854,2022-05-22,2022-05,289.0,338.0,87.0,22.01,37417.0,36.69,44028.0,7.34,10276.0,36.69,80718.0,44.03,35224.0,0.11330085351111763,0.5861020550203304,high_profit
2022,1822,OFRP,23,2,8,Kalpitiya,8.556,79.8,8.6362,80.0482,32.8,18.8,1.34,safe,0.0,0.0,35.9,3119.0,24000,3000.0,0.0,35325.0,309260.0,30926.0,278334.0,243009.0,0.873,2022-08-03,2022-08,430.0,450.0,87.0,32.78,55726.0,54.64,65568.0,10.93,15302.0,54.64,120208.0,65.57,52456.0,0.08829440905874027,0.6794055201698513,high_profit
2022,1374,OFRP,20,1,4,Negombo,7.209,79.835,7.144,79.8313,16.6,18.7,1.06,safe,0.0,0.0,23.0,1999.0,12000,3000.0,0.0,19602.0,233293.0,23329.0,209964.0,190362.0,0.907,2022-04-10,2022-04,176.0,254.0,87.0,24.73,42041.0,41.22,49464.0,8.24,11536.0,41.22,90684.0,49.46,39568.0,0.10197938985817774,0.6121824303642486,high_profit
